timestamp,packet_size,src_mac,dst_mac,ethertype
1112701135.974507,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.975906,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.976514,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.977902,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.978512,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.979923,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.980516,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.981904,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.982512,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.983905,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.984518,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.985918,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
